# 测试参数配置
# 位置1: -5000 μm
# 位置2: 0 μm
# 位置3: 5000 μm
# 循环次数: 10000
# 停留时间: 3 s
# 速度: 2 mm/s
# 误差窗: 500 nm
# 采样率: 1000 Hz
# 测试开始时间: 2025-06-12 13:48:52
#
时间戳	当前位置(μm)	目标位置(μm)	当前速度(mm/s)	位置误差(nm)	到位信号	完成循环数	超出误差窗次数	测试阶段	异常信息
48:53.3	-465713	-5000	6553	460713000	N	0	0	初始化	
48:53.5	-459505	-5000	6553	454505000	N	0	0	初始化	
48:53.6	-454161	-5000	6553	449161000	N	0	0	初始化	
48:53.8	-449210	-5000	6553	444210000	N	0	0	初始化	
48:53.9	-443396	-5000	6553	438396000	N	0	0	初始化	
48:54.0	-438087	-5000	6553	433087000	N	0	0	初始化	
48:54.2	-432862	-5000	6553	427862000	N	0	0	初始化	
48:54.3	-427649	-5000	6553	422649000	N	0	0	初始化	
48:54.5	-421806	-5000	6553	416806000	N	0	0	初始化	
48:54.6	-416025	-5000	6553	411025000	N	0	0	初始化	
48:54.8	-410884	-5000	6553	405884000	N	0	0	初始化	
48:54.9	-405247	-5000	6553	400247000	N	0	0	初始化	
48:55.1	-399398	-5000	6553	394398000	N	0	0	初始化	
48:55.2	-393685	-5000	6553	388685000	N	0	0	初始化	
48:55.4	-388212	-5000	6553	383212000	N	0	0	初始化	
48:55.5	-382773	-5000	6553	377773000	N	0	0	初始化	
48:55.7	-377020	-5000	6553	372020000	N	0	0	初始化	
48:55.8	-370997	-5000	6553	365997000	N	0	0	初始化	
48:56.0	-365141	-5000	6553	360141000	N	0	0	初始化	
48:56.1	-359764	-5000	6553	354764000	N	0	0	初始化	
48:56.2	-354466	-5000	6553	349466000	N	0	0	初始化	
48:56.4	-349146	-5000	6553	344146000	N	0	0	初始化	
48:56.6	-343216	-5000	6553	338216000	N	0	0	初始化	
48:56.7	-337084	-5000	6553	332084000	N	0	0	初始化	
48:56.8	-331761	-5000	6553	326761000	N	0	0	初始化	
48:57.0	-326251	-5000	6553	321251000	N	0	0	初始化	
48:57.1	-319945	-5000	6553	314945000	N	0	0	初始化	
48:57.3	-313869	-5000	6553	308869000	N	0	0	初始化	
48:57.4	-308268	-5000	6553	303268000	N	0	0	初始化	
48:57.6	-302074	-5000	6553	297074000	N	0	0	初始化	
48:57.7	-295872	-5000	6553	290872000	N	0	0	初始化	
48:57.9	-288985	-5000	6553	283985000	N	0	0	初始化	
48:58.1	-282847	-5000	6553	277847000	N	0	0	初始化	
48:58.2	-275962	-5000	6553	270962000	N	0	0	初始化	
48:58.4	-269982	-5000	6553	264982000	N	0	0	初始化	
48:58.5	-262846	-5000	6553	257846000	N	0	0	初始化	
